asset_type,symbol,exchange,country_code,currency,name,price,change,change_percent,volume,market_cap,data_status,day_high,day_low,open,previous_close,generated_at_utc
EQUITY,SHEL,LSE,GB,GBP,Shell plc,12.21726723,0.22706389,1.8585,293265301.28,4328641226770.44,SYNTHETIC_MOCK_DATA,12.43514105,12.01601834,11.99020334,11.99020334,2026-09-17T12:53:49.326764+00:00
EQUITY,AZN,LSE,GB,GBP,AstraZeneca,2.4395254,-0.03717863,-1.524,98623917.06,848702686841.37,SYNTHETIC_MOCK_DATA,2.57671257,2.40316716,2.47670403,2.47670403,2026-09-17T12:53:49.326863+00:00
EQUITY,HSBA,LSE,GB,GBP,HSBC Holdings,3.10434895,0.13078893,4.2131,269280575.67,1023819725352.14,SYNTHETIC_MOCK_DATA,3.11736198,2.96706723,2.97356001,2.97356001,2026-09-17T12:53:49.326885+00:00
EQUITY,ULVR,LSE,GB,GBP,Unilever,1.72975047,0.06834442,3.9511,231734739.48,85464445630.08,SYNTHETIC_MOCK_DATA,1.81319977,1.63870982,1.66140605,1.66140605,2026-09-17T12:53:49.326902+00:00
EQUITY,BP,LSE,GB,GBP,BP plc,8.098163,-0.48466181,-5.9848,294468129.45,2020387732187.01,SYNTHETIC_MOCK_DATA,8.19742247,7.70330287,8.58282481,8.58282481,2026-09-17T12:53:49.326918+00:00
EQUITY,RIO,LSE,GB,GBP,Rio Tinto,11.96810859,-0.35298824,-2.9494,60696597.51,2235580996032.84,SYNTHETIC_MOCK_DATA,12.14065659,11.67094974,12.32109683,12.32109683,2026-09-17T12:53:49.326934+00:00
EQUITY,GSK,LSE,GB,GBP,GSK plc,3.41382173,-0.07596643,-2.2253,92055317.8,147842595070.76,SYNTHETIC_MOCK_DATA,3.51997574,3.38364671,3.48978816,3.48978816,2026-09-17T12:53:49.326949+00:00
EQUITY,BATS,LSE,GB,GBP,BATS,39.22656115,-2.21147192,-5.6377,81809173.07,8772010664343.74,SYNTHETIC_MOCK_DATA,40.33113579,36.88187279,41.43803308,41.43803308,2026-09-17T12:53:49.326965+00:00
EQUITY,DGE,LSE,GB,GBP,DGE,15.63499665,-0.41413755,-2.6488,90483199.05,687004246420.13,SYNTHETIC_MOCK_DATA,15.75255425,15.2482175,16.0491342,16.0491342,2026-09-17T12:53:49.326982+00:00
EQUITY,VOD,LSE,GB,GBP,Vodafone Group,29.09254996,1.19977665,4.124,13714673.05,1452416460205.5,SYNTHETIC_MOCK_DATA,30.35223694,28.89272053,27.89277331,27.89277331,2026-09-17T12:53:49.326998+00:00
EQUITY,BARC,LSE,GB,GBP,BARC,3.11039344,0.13011948,4.1834,176812552.6,685426307358.49,SYNTHETIC_MOCK_DATA,3.25589343,3.00927367,2.98027397,2.98027397,2026-09-17T12:53:49.327014+00:00
EQUITY,LLOY,LSE,GB,GBP,LLOY,9.84953421,-0.52964881,-5.3774,283276751.35,2982778912601.69,SYNTHETIC_MOCK_DATA,10.12814669,9.6010151,10.37918301,10.37918301,2026-09-17T12:53:49.327030+00:00
