symbol,price,change,changePercent,volume,timestamp,open,high,low,previousClose
A,146.93,3.81,2.66,0,2026-09-11T20:00:00,144.48,146.97,143.18,143.12
AA,48.26,-0.04,-0.08,0,2026-09-11T20:00:00,48.73,49.05,47.6,48.3
AABB,0.01,-0.0,-6.14,0,2026-09-10T00:00:00,0.01,0.01,0.01,0.01
AABVF,0.02,0.0,18.57,0,2026-08-27T00:00:00,0.02,0.02,0.02,0.01
AAC,10.12,0.06,0.6,0,2026-09-11T20:00:00,10.15,10.15,10.12,10.06
AACAF,4.97,-0.2,-3.87,0,2026-08-20T00:00:00,4.97,4.97,4.97,5.17
AACI,10.05,0.01,0.1,0,2026-09-11T16:25:46,10.05,10.07,10.04,10.04
AACO,9.99,0.02,0.2,0,2026-09-08T19:27:45,9.99,9.99,9.99,9.97
AACP,10.06,-0.01,-0.1,0,2026-09-11T18:33:12,10.06,10.06,10.06,10.07
AACTF,0.0,0.0,3.75,0,2026-09-10T00:00:00,0.0,0.0,0.0,0.0
AADX,12.2,0.66,5.72,0,2026-09-11T20:00:00,11.7,12.49,11.38,11.54
AAFRF,4.75,0.12,2.54,0,2026-09-08T00:00:00,4.77,4.77,4.74,4.64
AAGAF,0.53,-0.02,-3.27,0,2026-09-10T00:00:00,0.59,0.59,0.53,0.55
AAGC,0.0,0.0,0.0,0,2026-09-10T00:00:00,0.0,0.0,0.0,0.0
AAGFF,0.51,-0.03,-5.41,0,2026-09-10T00:00:00,0.52,0.53,0.5,0.53
AAGH,0.0,0.0,0.0,0,2026-09-09T00:00:00,0.0,0.0,0.0,0.0
AAGR,0.01,-0.0,-30.0,0,2026-09-09T00:00:00,0.01,0.01,0.01,0.01
AAIGF,9.25,-0.48,-4.95,0,2026-09-10T00:00:00,9.26,10.03,9.25,9.73
AAIRF,0.03,-0.0,-13.67,0,2026-09-10T00:00:00,0.03,0.03,0.03,0.03
AAL,13.01,0.16,1.25,0,2026-09-11T20:00:00,13.13,13.22,12.95,12.85
AALBF,48.56,1.59,3.37,0,2026-09-10T00:00:00,48.56,48.56,48.56,46.98
AAME,1.29,-0.01,-0.77,0,2026-09-11T20:00:00,1.26,1.32,1.26,1.3
AAMI,91.02,-1.03,-1.12,0,2026-09-11T20:00:00,93.65,94.06,90.88,92.05
AAMMF,0.33,0.05,17.19,0,2026-09-10T00:00:00,0.29,0.33,0.28,0.28
AAMTF,0.17,0.0,2.35,0,2026-08-27T00:00:00,0.17,0.17,0.17,0.16
AANNF,2.3,0.01,0.44,0,2026-09-04T00:00:00,2.21,2.3,2.21,2.29
AAOI,105.36,2.07,2.0,0,2026-09-11T20:00:00,104.51,108.67,104.08,103.29
AAON,79.8,3.28,4.28,0,2026-09-11T20:00:00,76.77,81.25,76.77,76.52
AAP,44.68,1.37,3.16,0,2026-09-11T20:00:00,44.0,45.28,43.49,43.31
AAPI,0.08,0.02,34.8,0,2026-08-25T00:00:00,0.08,0.08,0.08,0.06
AAPL,332.27,5.7,1.75,0,2026-09-11T20:00:00,327.45,336.22,326.3,326.57
AAQL,0.58,0.0,0.0,0,2026-09-04T00:00:00,0.58,0.58,0.58,0.58
AARD,5.13,0.12,2.4,0,2026-09-11T20:00:00,5.11,5.54,4.97,5.01
AASP,6.0,0.5,9.09,0,2026-09-10T00:00:00,6.0,6.0,6.0,5.5
AASZF,0.07,-0.01,-11.28,0,2026-09-09T00:00:00,0.07,0.07,0.07,0.08
AATC,5.66,-0.02,-0.32,0,2026-09-10T00:00:00,5.67,5.69,5.65,5.68
AATV,0.12,-0.01,-6.15,0,2026-08-31T00:00:00,0.12,0.12,0.12,0.13
AAUAF,0.17,-0.0,-0.42,0,2026-09-10T00:00:00,0.16,0.17,0.16,0.17
AAUC,22.84,0.36,1.6,0,2026-09-11T20:00:00,22.87,23.16,22.74,22.48
AAUKF,56.5,-0.9,-1.57,0,2026-09-04T00:00:00,56.5,56.5,56.5,57.4
AAVVF,7.78,0.01,0.13,0,2026-09-10T00:00:00,7.83,7.83,7.76,7.77
AAWH,0.49,0.01,1.33,0,2026-09-10T00:00:00,0.48,0.49,0.44,0.48
AAXBF,0.17,-0.12,-40.85,0,2026-08-28T00:00:00,0.17,0.17,0.17,0.29
ABAT,2.47,-0.09,-3.52,0,2026-09-11T20:00:00,2.59,2.6,2.46,2.56
ABBB,10.75,0.0,0.0,0,2026-08-24T00:00:00,10.75,10.75,10.75,10.75
